"","age","surv"
"1",1,0.98205
"2",2,0.9717
"3",3,0.95755
"4",4,0.93915
"5",5,0.9163
"6",6,0.8889
"7",7,0.8572
"8",8,0.82155
"9",9,0.78265
"10",10,0.7411
"11",11,0.68355
"12",12,0.60825
"13",13,0.53055
"14",14,0.45755
"15",15,0.3915
"16",16,0.3333
"17",17,0.28305
"18",18,0.24005
"19",19,0.20365
"20",20,0.1729
"21",21,0.147
"22",22,0.1251
"23",23,0.1067
"24",24,0.09115
"25",25,0.07795
"26",26,0.066809634551495
"27",27,0.0572697259136213
"28",28,0.0491647944352159
"29",29,0.042261095826412
"30",30,0.036358321869809
"31",31,0.0313312414023567
"32",32,0.0269734310517675
"33",33,0.0232925732888257
"34",34,0.0201069299666192
"35",35,0.0173426974749644
