ind,age,surv,surv_drop_lag1
0,0,1,0
1,1,0.98205,0.010539178249579931
2,2,0.9717,0.014562107646392916
3,3,0.95755,0.019215707
4,4,0.93915,0.024330511632859538
5,5,0.9163,0.029902870239004672
6,6,0.8889,0.035662054
7,7,0.8572,0.041588894
8,8,0.82155,0.047349522
9,9,0.78265,0.053088865
10,10,0.7411,0.077654837
11,11,0.68355,0.11016019310950191
12,12,0.60825,0.12774352651048088
13,13,0.53055,0.13759306380171513
14,14,0.45755,0.14435580810840346
15,15,0.3915,0.1486590038314177
16,16,0.3333,0.15076507650765067
17,17,0.28305,0.15191662250485782
18,18,0.24005,0.15163507602582801
19,19,0.20365,0.15099435305671496
20,20,0.1729,0.14979757085020245
21,21,0.147,0.14897959183673473
22,22,0.1251,0.14708233413269375
23,23,0.1067,0.14573570759137777
24,24,0.09115,0.14481623697202403
25,25,0.07795,0.14291681139839654
26,26,0.066809635,0.1427924086386164
27,27,0.057269726,0.141522093
28,28,0.049164794,0.14041955606874054
29,29,0.042261096,0.13967394458602586
30,30,0.036358322,0.13826492007670624
31,31,0.031331241,0.1390883398019911
32,32,0.026973431,0.13646234903811402
33,33,0.023292573,0.13676648271982766
34,34,0.02010693,0.137476631
35,35,0.017342697,0.163913202
36,36,0.014741292,0.15
37,37,0.012530099,0.15
38,38,0.010650584,0.15
39,39,0.009052996,0.15
40,40,0.007695047,0.15
41,41,0.00654079,0.15
42,42,0.005559671,0.15
43,43,0.004725721,0.15
44,44,0.004016863,0.15
45,45,0.003414333,1
