ind,age,scrappage,lag1_scrappage,survival,freq
0,0,0.005043994,0,1,5.206706632
1,1,0.006084976,0.005043994,0.994956006,5.180444037
2,2,0.00734673,0.006084976,0.988901723,5.14892116
3,3,0.008876631,0.00734673,0.981636529,5.111093427
4,4,0.010731797,0.008876631,0.972922904,5.065724135
5,5,0.012980654,0.010731797,0.962481692,5.011359811
6,6,0.015704455,0.012980654,0.94998805,4.946309083
7,7,0.018998494,0.015704455,0.935069006,4.868629993
8,8,0.022972626,0.018998494,0.917304103,4.776133357
9,9,0.027750487,0.022972626,0.896231219,4.666413031
10,10,0.033466531,0.027750487,0.871360366,4.536917796
11,11,0.040259751,0.033466531,0.842198958,4.385082898
12,12,0.048262729,0.040259751,0.808292237,4.208540553
13,13,0.057584644,0.048262729,0.769281848,4.005424901
14,14,0.068287273,0.057584644,0.724983027,3.774773933
15,15,0.08035396,0.068287273,0.675475913,3.517004916
16,16,0.09365321,0.08035396,0.621198748,3.234399642
17,17,0.107900868,0.09365321,0.563021492,2.931487735
18,18,0.122627907,0.107900868,0.502270984,2.615177665
19,19,0.137164476,0.122627907,0.440678544,2.2944839
20,20,0.150654853,0.137164476,0.380233103,1.979762219
21,21,0.162119889,0.150654853,0.322949141,1.681501433
22,22,0.170577424,0.162119889,0.270592662,1.408896607
23,23,0.17521054,0.170577424,0.224435663,1.168570653
24,24,0.175541219,0.17521054,0.185112169,0.963824758
25,25,0.171544397,0.175541219,0.152617353,0.794633785
26,26,0.163651318,0.171544397,0.126436701,0.658318812
27,27,0.152641487,0.163651318,0.105745169,0.550584071
28,28,0.139473267,0.152641487,0.089604069,0.466542099
29,29,0.125117584,0.139473267,0.077106697,0.401471948
30,30,0.110437039,0.125117584,0.067459293,0.351240748
31,31,0.096120698,0.110437039,0.060009288,0.31245076
32,32,0.082664622,0.096120698,0.054241154,0.282417775
33,33,0.070382683,0.082664622,0.049757329,0.259071817
34,34,0.059434258,0.070382683,0.046255275,0.240837647
35,35,0.049859002,0.059434258,0.043506127,0.22652364
36,36,0.041611945,0.049859002,0.041336955,0.215229398
37,37,0.034594629,0.041611945,0.039616844,0.206273284
38,38,0.02868008,0.034594629,0.038246314,0.199137336
39,39,0.023731106,0.02868008,0.037149406,0.193426061
40,40,0.019612529,0.023731106,0.03626781,0.188835847
41,41,0.016198512,0.019612529,0.035556506,0.185132298
42,42,0.013376291,0.016198512,0.034980544,0.182133431
43,43,0.011047474,0.013376291,0.034512634,0.179697161
44,44,0.009127826,0.011047474,0.034131357,0.177711961
45,45,0.007546218,0.009127826,0.033819812,0.176089837
46,46,0.006243181,0.007546218,0.0335646,0.174761025
47,47,0.005169344,0.006243181,0.03335505,0.17366996
48,48,0.004283926,0.005169344,0.033182626,0.1727722
49,49,0.003553356,0.004283926,0.033040474,0.172032057
50,50,1,0.003553356,0.03292307,0.171420766
