"year","powertrain","age","proportion","vmt","high_VMT_prop","n","l_100km","l_100kme","uf","weight_lbs","ev_range","batt_kwh"
1989,"bev",35,0,5000,0.9,0,NA,NA,NA,NA,NA,NA
1989,"hev",35,0,5000,0.9,0,NA,NA,NA,NA,NA,NA
1989,"icev",35,1,5000,0.9,243903.581114031,12.4031318817431,0,0,2894.5488354199,0,0
1989,"phev",35,0,5000,0.9,0,NA,NA,NA,NA,NA,NA
1990,"bev",34,0,5000,0.9,0,NA,NA,NA,NA,NA,NA
1990,"hev",34,0,5000,0.9,0,NA,NA,NA,NA,NA,NA
1990,"icev",34,1,5000,0.9,289530.293378592,12.3094957680363,0,0,2819.36245406901,0,0
1990,"phev",34,0,5000,0.9,0,NA,NA,NA,NA,NA,NA
1991,"bev",33,0,5000,0.9,0,NA,NA,NA,NA,NA,NA
1991,"hev",33,0,5000,0.9,0,NA,NA,NA,NA,NA,NA
1991,"icev",33,1,5000,0.9,267665.240862922,12.1867752896655,0,0,2803.49537420585,0,0
1991,"phev",33,0,5000,0.9,0,NA,NA,NA,NA,NA,NA
1992,"bev",32,0,5408.12556556018,0.870317088088794,0,NA,NA,NA,NA,NA,NA
1992,"hev",32,0,5408.12556556018,0.870317088088794,0,NA,NA,NA,NA,NA,NA
1992,"icev",32,1,5408.12556556018,0.870317088088794,365566.637511912,12.3906528643947,0,0,2918.56451967465,0,0
1992,"phev",32,0,5408.12556556018,0.870317088088794,0,NA,NA,NA,NA,NA,NA
1993,"bev",31,0,5780.18338672047,0.882586015649839,0,NA,NA,NA,NA,NA,NA
1993,"hev",31,0,5780.18338672047,0.882586015649839,0,NA,NA,NA,NA,NA,NA
1993,"icev",31,1,5780.18338672047,0.882586015649839,451560.356613389,12.4379794509348,0,0,2891.58418387706,0,0
1993,"phev",31,0,5780.18338672047,0.882586015649839,0,NA,NA,NA,NA,NA,NA
1994,"bev",30,0,5534.45102889853,0.860402512739668,0,NA,NA,NA,NA,NA,NA
1994,"hev",30,0,5534.45102889853,0.860402512739668,0,NA,NA,NA,NA,NA,NA
1994,"icev",30,1,5534.45102889853,0.860402512739668,578437.389006683,12.689131546009,0,0,2892.94589844393,0,0
1994,"phev",30,0,5534.45102889853,0.860402512739668,0,NA,NA,NA,NA,NA,NA
1995,"bev",29,0,5854.07066289968,0.857562497678432,0,NA,NA,NA,NA,NA,NA
1995,"hev",29,0,5854.07066289968,0.857562497678432,0,NA,NA,NA,NA,NA,NA
1995,"icev",29,1,5854.07066289968,0.857562497678432,810690.783888877,12.8203056929434,0,0,3025.28237253703,0,0
1995,"phev",29,0,5854.07066289968,0.857562497678432,0,NA,NA,NA,NA,NA,NA
1996,"bev",28,0,6382.31822754616,0.855638543662697,0,NA,NA,NA,NA,NA,NA
1996,"hev",28,0,6382.31822754616,0.855638543662697,0,NA,NA,NA,NA,NA,NA
1996,"icev",28,1,6382.31822754616,0.855638543662697,853182.765276247,12.5582604574375,0,0,2820.96961777687,0,0
1996,"phev",28,0,6382.31822754616,0.855638543662697,0,NA,NA,NA,NA,NA,NA
1997,"bev",27,0,6549.86658745338,0.861613432641586,0,NA,NA,NA,NA,NA,NA
1997,"hev",27,0,6549.86658745338,0.861613432641586,0,NA,NA,NA,NA,NA,NA
1997,"icev",27,1,6549.86658745338,0.861613432641586,1142793.36640661,12.6247092612287,0,0,2981.74504209728,0,0
1997,"phev",27,0,6549.86658745338,0.861613432641586,0,NA,NA,NA,NA,NA,NA
1998,"bev",26,0,7230.85074773114,0.848806720926657,0,NA,NA,NA,NA,NA,NA
1998,"hev",26,0,7230.85074773114,0.848806720926657,0,NA,NA,NA,NA,NA,NA
1998,"icev",26,1,7230.85074773114,0.848806720926657,1327793.01568958,12.6701600629723,0,0,2785.41354281572,0,0
1998,"phev",26,0,7230.85074773114,0.848806720926657,0,NA,NA,NA,NA,NA,NA
1999,"bev",25,0,6404.60356983224,0.847170250874318,0,NA,NA,NA,NA,NA,NA
1999,"hev",25,1.01190476190476e-06,6404.60356983224,0.847170250874318,1.76031392931532,NA,NA,NA,NA,NA,NA
1999,"icev",25,0.999998988095238,6404.60356983224,0.847170250874318,1739602.59336239,12.6205418779264,0,0,4182.53530861851,0,0
1999,"phev",25,0,6404.60356983224,0.847170250874318,0,NA,NA,NA,NA,NA,NA
2000,"bev",24,0,7348.09968300177,0.843599479730234,0,0,4.05534482758621,0,6000,50,0
2000,"hev",24,0.000537047673750718,7348.09968300177,0.843599479730234,1127.91410435996,4.43792452830189,0,0,1500,0,0
