production_year,powertrain,age,proportion,vmt,high_VMT_prop,n,l_100km,l_100kme,uf,weight_lbs,ev_range,batt_kwh,vmt_bucket
1989,bev,35,0,999.9999999999998,0.9,0,,,,,,,low
1989,hev,35,0,999.9999999999998,0.9,0,,,,,,,low
1989,icev,35,1,999.9999999999998,0.9,121951.7905570155,12.40313188,0,0,2894.548835,0,0,low
1989,phev,35,0,999.9999999999998,0.9,0,,,,,,,low
1990,bev,34,0,999.9999999999998,0.9,0,,,,,,,low
1990,hev,34,0,999.9999999999998,0.9,0,,,,,,,low
1990,icev,34,1,999.9999999999998,0.9,144765.1467,12.30949577,0,0,2819.362454,0,0,low
1990,phev,34,0,999.9999999999998,0.9,0,,,,,,,low
1991,bev,33,0,999.9999999999998,0.9,0,,,,,,,low
1991,hev,33,0,999.9999999999998,0.9,0,,,,,,,low
1991,icev,33,1,999.9999999999998,0.9,133832.6204,12.18677529,0,0,2803.495374,0,0,low
1991,phev,33,0,999.9999999999998,0.9,0,,,,,,,low
1992,bev,32,0,1402.6829426465633,0.870317088,0,,,,,,,low
1992,hev,32,0,1402.6829426465633,0.870317088,0,,,,,,,low
1992,icev,32,1,1402.6829426465633,0.870317088,182783.3188,12.39065286,0,0,2918.56452,0,0,low
1992,phev,32,0,1402.6829426465633,0.870317088,0,,,,,,,low
1993,bev,31,0,1357.348723418916,0.882586016,0,,,,,,,low
1993,hev,31,0,1357.348723418916,0.882586016,0,,,,,,,low
1993,icev,31,1,1357.348723418916,0.882586016,225780.1783066945,12.43797945,0,0,2891.584184,0,0,low
1993,phev,31,0,1357.348723418916,0.882586016,0,,,,,,,low
1994,bev,30,0,1545.1909139991883,0.860402513,0,,,,,,,low
1994,hev,30,0,1545.1909139991883,0.860402513,0,,,,,,,low
1994,icev,30,1,1545.1909139991883,0.860402513,289218.6945033415,12.68913155,0,0,2892.945898,0,0,low
1994,phev,30,0,1545.1909139991883,0.860402513,0,,,,,,,low
1995,bev,29,0,1667.6784072747932,0.857562498,0,,,,,,,low
1995,hev,29,0,1667.6784072747932,0.857562498,0,,,,,,,low
1995,icev,29,1,1667.6784072747932,0.857562498,405345.3919444385,12.82030569,0,0,3025.282373,0,0,low
1995,phev,29,0,1667.6784072747932,0.857562498,0,,,,,,,low
1996,bev,28,0,1842.7215082733564,0.855638544,0,,,,,,,low
1996,hev,28,0,1842.7215082733564,0.855638544,0,,,,,,,low
1996,icev,28,1,1842.7215082733564,0.855638544,426591.3826381235,12.55826046,0,0,2820.969618,0,0,low
1996,phev,28,0,1842.7215082733564,0.855638544,0,,,,,,,low
1997,bev,27,0,1812.8271073864853,0.861613433,0,,,,,,,low
1997,hev,27,0,1812.8271073864853,0.861613433,0,,,,,,,low
1997,icev,27,1,1812.8271073864853,0.861613433,571396.6832,12.62470926,0,0,2981.745042,0,0,low
1997,phev,27,0,1812.8271073864853,0.861613433,0,,,,,,,low
1998,bev,26,0,2186.51207,0.848806721,0,,,,,,,low
1998,hev,26,0,2186.51207,0.848806721,0,,,,,,,low
1998,icev,26,1,2186.51207,0.848806721,663896.5078,12.67016006,0,0,2785.413543,0,0,low
1998,phev,26,0,2186.51207,0.848806721,0,,,,,,,low
1999,bev,25,0,1957.6279136538178,0.847170251,0,,,,,,,low
1999,hev,25,1.01190476190476e-06,1957.6279136538178,0.847170251,0.880156965,,,,,,,low
1999,icev,25,0.999998988,1957.6279136538178,0.847170251,869801.2967,12.62054188,0,0,4182.535309,0,0,low
1999,phev,25,0,1957.6279136538178,0.847170251,0,,,,,,,low
2000,bev,24,0,2298.4932268311595,0.84359948,0,0,4.055344828,0,6000,50,0,low
2000,hev,24,0.000537048,2298.4932268311595,0.84359948,563.9570522,4.437924528,0,0,1500,0,0,low
2000,icev,24,0.999462952,2298.4932268311595,0.84359948,1049542.168985625,12.48184607,0,0,4203.139141,0,0,low
2000,phev,24,0,2298.4932268311595,0.84359948,0,,,,,,,low
2001,bev,23,0,2253.5818419495513,0.837914683,0,,,,,,,low
2001,hev,23,0.001175768,2253.5818419495513,0.837914683,1390.769753,5.585063851,0,0,2530.604178,0,0,low
2001,icev,23,0.998824232,2253.5818419495513,0.837914683,1181469.808,12.74277529,0,0,4248.305238,0,0,low
2001,phev,23,0,2253.5818419495513,0.837914683,0,,,,,,,low
2002,bev,22,0,2301.8246760533143,0.838523565,0,,,,,,,low
2002,hev,22,0.002145357,2301.8246760533143,0.838523565,2838.042378,5.67252716,0,0,2685.858586,0,0,low
2002,icev,22,0.997854643,2301.8246760533143,0.838523565,1320038.378,12.86910158,0,0,4273.448782,0,0,low
2002,phev,22,0,2301.8246760533143,0.838523565,0,,,,,,,low
2003,bev,21,0,2523.7689927316883,0.82994848,0,,,,,,,low
2003,hev,21,0.002853389,2523.7689927316883,0.82994848,4324.954492,5.806651519,0,0,2770.846334,0,0,low
2003,icev,21,0.997146611,2523.7689927316883,0.82994848,1511400.382629395,12.66943182,0,0,4283.16917,0,0,low
2003,phev,21,0,2523.7689927316883,0.82994848,0,,,,,,,low
2004,bev,20,0,2523.399789340174,0.834375793,0,,,,,,,low
2004,hev,20,0.004998991,2523.399789340174,0.834375793,8702.741017,5.338530404,0,0,3133.521051,0,0,low
2004,icev,20,0.995001009,2523.399789340174,0.834375793,1732196.741783965,12.68799335,0,0,4325.032091,0,0,low
2004,phev,20,0,2523.399789340174,0.834375793,0,,,,,,,low
2005,bev,19,0,2630.6267297753575,0.827397997,0,,,,,,,low
2005,hev,19,0.012117481,2630.6267297753575,0.827397997,24090.48707,5.869467913,0,0,3316.170233,0,0,low
2005,icev,19,0.987882519,2630.6267297753575,0.827397997,1963986.682,12.67855841,0,0,4291.167981,0,0,low
2005,phev,19,0,2630.6267297753575,0.827397997,0,,,,,,,low
2006,bev,18,0,2648.600164025164,0.833180459,0,,,,,,,low
2006,hev,18,0.01530158,2648.600164025164,0.833180459,30584.48565980795,6.887450432,0,0,4010.270505,0,0,low
2006,icev,18,0.98469842,2648.600164025164,0.833180459,1968195.149224255,12.41356809,0,0,4302.623131,0,0,low
2006,phev,18,0,2648.600164025164,0.833180459,0,,,,,,,low
2007,bev,17,0,2734.9694577041228,0.827173615,0,,,,,,,low
2007,hev,17,0.021630992,2734.9694577041228,0.827173615,48172.29866,6.398177505,0,0,3573.905713,0,0,low
2007,icev,17,0.978369008,2734.9694577041228,0.827173615,2178831.376717005,11.98602267,0,0,4224.1417,0,0,low
2007,phev,17,0,2734.9694577041228,0.827173615,0,,,,,,,low
2008,bev,16,0,2930.087124389277,0.821926564,0,0,2.400102041,0,1500,100,0,low
2008,hev,16,0.023741579,2930.087124389277,0.821926564,61207.59565,6.476255989,0,0,3728.505348,0,0,low
2008,icev,16,0.976258421,2930.087124389277,0.821926564,2516868.436672285,12.08483876,0,0,4172.430766,0,0,low
