pathway,powertrain,year,year_calendar,proportion
A,icev,0,2024,82
A,hev,0,2024,9
A,phev,0,2024,2
A,bev,0,2024,7
B,icev,0,2024,82
B,hev,0,2024,9
B,phev,0,2024,2
B,bev,0,2024,7
C,icev,0,2024,82
C,hev,0,2024,9
C,phev,0,2024,2
C,bev,0,2024,7
average,icev,0,2024,82
average,hev,0,2024,9
average,phev,0,2024,2
average,bev,0,2024,7
A,icev,1,2025,76
A,hev,1,2025,7.333333333
A,phev,1,2025,3.333333333
A,bev,1,2025,13.33333333
B,icev,1,2025,75.33333333
B,hev,1,2025,7.333333333
B,phev,1,2025,4.666666667
B,bev,1,2025,12.66666667
C,icev,1,2025,75
C,hev,1,2025,7.333333333
C,phev,1,2025,4.666666667
C,bev,1,2025,12.66666667
average,icev,1,2025,75.33333333
average,hev,1,2025,7.333333333
average,phev,1,2025,4.333333333
average,bev,1,2025,13
A,icev,2,2026,70
A,hev,2,2026,5.666666667
A,phev,2,2026,4.666666667
A,bev,2,2026,19.66666667
B,icev,2,2026,68.66666667
B,hev,2,2026,5.666666667
B,phev,2,2026,7.333333333
B,bev,2,2026,18.33333333
C,icev,2,2026,68
C,hev,2,2026,5.666666667
C,phev,2,2026,7.333333333
C,bev,2,2026,18.33333333
average,icev,2,2026,68.66666667
average,hev,2,2026,5.666666667
average,phev,2,2026,6.666666667
average,bev,2,2026,19
A,icev,3,2027,64
A,hev,3,2027,4
A,phev,3,2027,6
A,bev,3,2027,26
B,icev,3,2027,62
B,hev,3,2027,4
B,phev,3,2027,10
B,bev,3,2027,24
C,icev,3,2027,61
C,hev,3,2027,4
C,phev,3,2027,10
C,bev,3,2027,24
average,icev,3,2027,62
average,hev,3,2027,4
average,phev,3,2027,9
average,bev,3,2027,25
A,icev,4,2028,58
A,hev,4,2028,5
A,phev,4,2028,6
A,bev,4,2028,31
B,icev,4,2028,56
B,hev,4,2028,4
B,phev,4,2028,12
B,bev,4,2028,29
C,icev,4,2028,41
C,hev,4,2028,15
C,phev,4,2028,17
C,bev,4,2028,26
average,icev,4,2028,51
average,hev,4,2028,8
average,phev,4,2028,12
average,bev,4,2028,29
A,icev,5,2029,49
A,hev,5,2029,5
A,phev,5,2029,8
A,bev,5,2029,39
B,icev,5,2029,49
B,hev,5,2029,3
B,phev,5,2029,15
B,bev,5,2029,33
C,icev,5,2029,35
C,hev,5,2029,13
C,phev,5,2029,22
C,bev,5,2029,30
average,icev,5,2029,44
average,hev,5,2029,7
average,phev,5,2029,15
average,bev,5,2029,34
A,icev,6,2030,43
A,hev,6,2030,4
A,phev,6,2030,9
A,bev,6,2030,44
B,icev,6,2030,39
B,hev,6,2030,6
B,phev,6,2030,18
B,bev,6,2030,37
C,icev,6,2030,27
C,hev,6,2030,16
C,phev,6,2030,27
C,bev,6,2030,31
average,icev,6,2030,36
average,hev,6,2030,9
average,phev,6,2030,18
average,bev,6,2030,37
A,icev,7,2031,35
A,hev,7,2031,3
A,phev,7,2031,11
A,bev,7,2031,51
B,icev,7,2031,28
B,hev,7,2031,7
B,phev,7,2031,24
B,bev,7,2031,41
C,icev,7,2031,19
C,hev,7,2031,15
C,phev,7,2031,32
C,bev,7,2031,34
average,icev,7,2031,28
average,hev,7,2031,8
average,phev,7,2031,22
average,bev,7,2031,42
A,icev,8,2032,29
A,hev,8,2032,3
A,phev,8,2032,13
A,bev,8,2032,56
B,icev,8,2032,21
B,hev,8,2032,6
B,phev,8,2032,29
B,bev,8,2032,43
C,icev,8,2032,17
C,hev,8,2032,13
C,phev,8,2032,36
C,bev,8,2032,35
average,icev,8,2032,22
average,hev,8,2032,7
average,phev,8,2032,26
average,bev,8,2032,45
A,icev,9,2033,25.5
A,hev,9,2033,2.9
A,phev,9,2033,13.7
A,bev,9,2033,59
B,icev,9,2033,16.9
B,hev,9,2033,6.2
B,phev,9,2033,30.9
B,bev,9,2033,44.9
C,icev,9,2033,12.6
C,hev,9,2033,13.9
C,phev,9,2033,38.6
C,bev,9,2033,36.1
average,icev,9,2033,18
average,hev,9,2033,7.3
average,phev,9,2033,27.7
average,bev,9,2033,47
A,icev,10,2034,22
A,hev,10,2034,2.8
A,phev,10,2034,14.4
A,bev,10,2034,62
B,icev,10,2034,12.8
B,hev,10,2034,6.4
B,phev,10,2034,32.8
B,bev,10,2034,46.8
C,icev,10,2034,8.2
C,hev,10,2034,14.8
C,phev,10,2034,41.2
C,bev,10,2034,37.2
average,icev,10,2034,14
average,hev,10,2034,7.6
average,phev,10,2034,29.4
average,bev,10,2034,49
A,icev,11,2035,18.5
A,hev,11,2035,2.7
A,phev,11,2035,15.1
A,bev,11,2035,65
B,icev,11,2035,8.7
B,hev,11,2035,6.6
B,phev,11,2035,34.7
B,bev,11,2035,48.7
C,icev,11,2035,3.8
C,hev,11,2035,15.7
C,phev,11,2035,43.8
C,bev,11,2035,38.3
average,icev,11,2035,10
average,hev,11,2035,7.9
average,phev,11,2035,31.1
average,bev,11,2035,51
