"year","powertrain","l_100km","l_100kme","uf","weight_lbs","ev_range","batt_kwh","n_year_powertrain","n_year","mpg","mpge","proportion"
1974,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1974,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1974,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,6470,17.2075256884036,NA,1
1974,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1975,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1975,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1975,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,6470,17.2075256884036,NA,1
1975,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1976,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1976,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1976,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,6470,17.2075256884036,NA,1
1976,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1977,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,6470,17.2075256884036,NA,1
1977,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1978,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,6470,17.2075256884036,NA,1
1978,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1979,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,6470,17.2075256884036,NA,1
1979,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1980,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,6470,17.2075256884036,NA,1
1980,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1981,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,6470,17.2075256884036,NA,1
1981,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1982,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,6470,17.2075256884036,NA,1
1982,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1983,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,6470,17.2075256884036,NA,1
1983,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1984,"icev",13.6690192569935,0,0,2838.93353941268,0,0,6470,6470,17.2075256884036,NA,1
1984,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1985,"icev",13.0032122743871,0,0,2981.49871433819,0,0,8167,8167,18.0886072638606,NA,1
1985,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1986,"icev",12.7301571767542,0,0,3033.69678581587,0,0,10547,10547,18.4765982645919,NA,1
1986,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1987,"icev",12.1409683974916,0,0,2921.55479963495,0,0,12053,12053,19.3732486815958,NA,1
1987,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1988,"icev",12.6539130917957,0,0,2783.81904888065,0,0,15098,15098,18.587925987298,NA,1
1988,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1989,"icev",12.4253473149509,0,0,2896.49045602069,0,0,18179,18179,18.9298531492139,NA,1
1989,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1990,"icev",12.3256843039327,0,0,2810.20006716883,0,0,20843,20843,19.0829161448628,NA,1
1990,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1991,"icev",12.1928296986061,0,0,2809.2835646213,0,0,23924,23924,19.2908459983567,NA,1
1991,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1992,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1992,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1992,"icev",12.3969701544692,0,0,2927.29306487696,0,0,26820,26820,18.9731843401433,NA,1
1992,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1993,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1993,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1993,"icev",12.4152222400288,0,0,2879.23112128147,0,0,32775,32775,18.94529114764,NA,1
1993,"phev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"bev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
1994,"hev",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
