scenario,year,powertrain,age,n,production_year,vmt_bucket,mpg,mpge,l_100km,l_100kme,ev_range,batt_kwh,vmt,current_or_disposed,uf,weight_lbs,n_year_powertrain,proportion,n_year,high_VMT_prop,vmt_old,production_ghg,has_ice,ev_range_estim,uf_from_range,uf_real,ghg_mile_gas,ghg_mile_electric,ghg_mile_combined,use_ghg
default,0,bev,1.0,652735.9484599597,2024.0,high,inf,87.1956775459669,0.0,2.69749609865701,290.058823529412,108.0356,19701.0042294821,current,,,,,,,,,,,,,,,,
default,0,hev,1.0,725262.1649555119,2024.0,high,36.7953259692158,inf,6.39238799506178,0.0,0.0,0.0,19701.0042294821,current,,,,,,,,,,,,,,,,
default,0,icev,1.0,5729571.103148538,2024.0,high,23.2491189654893,inf,10.116942510774,0.0,0.0,0.0,19701.0042294821,current,,,,,,,,,,,,,,,,
default,0,phev,1.0,145052.43299110216,2024.0,high,26.2997583150968,65.825246959509,8.9434281935961,3.57324903231559,33.0833333333333,16.56425,19701.0042294821,current,,,,,,,,,,,,,,,,
default,0,bev,2.0,504594.27358779596,2023.0,high,inf,107.597729992654,0.0,2.1860126604535,280.396551724138,88.7110172413793,19392.1950845518,current,,,,,,,,,,,,,,,,
default,0,hev,2.0,540636.7217012097,2023.0,high,32.4151174269219,inf,7.25618225910389,0.0,0.0,0.0,19392.1950845518,current,,,,,,,,,,,,,,,,
default,0,icev,2.0,6037110.058996842,2023.0,high,21.678147801015,inf,10.850096703787,0.0,0.0,0.0,19392.1950845518,current,,,,,,,,,,,,,,,,
default,0,phev,2.0,126148.56839694899,2023.0,high,25.8197932053176,63.4867550798595,9.10967791762013,3.70486725466015,30.4285714285714,7.24371428571428,19392.1950845518,current,,,,,,,,,,,,,,,,
default,0,bev,3.0,407865.255450979,2022.0,high,inf,119.559496832513,0.0,1.967305034158,272.819694868239,70.5997808599168,19081.1267827362,current,,,,,,,,,,,,,,,,
default,0,hev,3.0,415020.78624836396,2022.0,high,37.6029773462178,inf,6.25508979872462,0.0,0.0,0.0,19081.1267827362,current,,,,,,,,,,,,,,,,
default,0,icev,3.0,6189534.139738539,2022.0,high,22.1385284812061,inf,10.624464051424,0.0,0.0,0.0,19081.1267827362,current,,,,,,,,,,,,,,,,
default,0,phev,3.0,143110.61594771198,2022.0,high,29.9966418573819,73.7282119336307,7.84121106350167,3.19023062992133,28.2909090909091,3.07636363636364,19081.1267827362,current,,,,,,,,,,,,,,,,
default,0,bev,4.0,216985.58393010928,2021.0,high,inf,106.523586478021,0.0,2.20805558446467,292.919708029197,85.4994335766423,18767.7993240353,current,,,,,,,,,,,,,,,,
default,0,hev,4.0,377361.63315851876,2021.0,high,39.2785918458378,inf,5.98824929679663,0.0,0.0,0.0,18767.7993240353,current,,,,,,,,,,,,,,,,
default,0,icev,4.0,6415743.3303831145,2021.0,high,22.4711099108688,inf,10.4672177268037,0.0,0.0,0.0,18767.7993240353,current,,,,,,,,,,,,,,,,
default,0,phev,4.0,81923.24429127817,2021.0,high,27.4947712128608,66.9406444010525,8.55471748351844,3.51370982613818,24.9740932642487,0.0,18767.7993240353,current,,,,,,,,,,,,,,,,
default,0,bev,5.0,114982.73289654961,2020.0,high,inf,115.014301311525,0.0,2.04505002697808,283.56338028169,82.8950356807512,18452.2127084491,current,,,,,,,,,,,,,,,,
default,0,hev,5.0,219354.60430550046,2020.0,high,42.7534712999017,inf,5.50154157893,0.0,0.0,0.0,18452.2127084491,current,,,,,,,,,,,,,,,,
default,0,icev,5.0,6648282.913428875,2020.0,high,23.1475946312545,inf,10.1613149766504,0.0,0.0,0.0,18452.2127084491,current,,,,,,,,,,,,,,,,
default,0,phev,5.0,33283.48588821088,2020.0,high,34.4685075371038,86.1250863738816,6.82391019532271,2.73102774003522,26.8173076923077,0.0,18452.2127084491,current,,,,,,,,,,,,,,,,
default,0,bev,6.0,94916.36295170667,2019.0,high,inf,111.100398167494,0.0,2.11709412278972,248.411940298507,0.0,18134.3669359776,current,,,,,,,,,,,,,,,,
default,0,hev,6.0,162148.00866848166,2019.0,high,41.6368592488853,inf,5.64908122858226,0.0,0.0,0.0,18134.3669359776,current,,,,,,,,,,,,,,,,
default,0,icev,6.0,6632942.838561836,2019.0,high,23.5660388047353,inf,9.98088825826501,0.0,0.0,0.0,18134.3669359776,current,,,,,,,,,,,,,,,,
default,0,phev,6.0,34825.50698390184,2019.0,high,35.9558724423648,91.568252917348,6.5416296149406,2.56868502462646,41.5731707317073,0.0,18134.3669359776,current,,,,,,,,,,,,,,,,
default,0,bev,7.0,81524.46680777741,2018.0,high,inf,116.495954852297,0.0,2.01904006279203,251.604166666667,0.0,17814.2620066208,current,,,,,,,,,,,,,,,,
default,0,hev,7.0,133110.0651581356,2018.0,high,40.8139557763628,inf,5.76297973391299,0.0,0.0,0.0,17814.2620066208,current,,,,,,,,,,,,,,,,
default,0,icev,7.0,6552672.235353534,2018.0,high,22.9711380222186,inf,10.2393708040279,0.0,0.0,0.0,17814.2620066208,current,,,,,,,,,,,,,,,,
default,0,phev,7.0,48775.22443301002,2018.0,high,35.3533030611021,90.9202934231324,6.65312657189286,2.58699121114095,40.6604361370716,0.0,17814.2620066208,current,,,,,,,,,,,,,,,,
default,0,bev,8.0,40546.76944299407,2017.0,high,inf,114.145797967178,0.0,2.06061023873724,174.819047619048,0.0,17491.8979203788,current,,,,,,,,,,,,,,,,
default,0,hev,8.0,140812.97323341953,2017.0,high,41.3883263160553,inf,5.6830034199464,0.0,0.0,0.0,17491.8979203788,current,,,,,,,,,,,,,,,,
default,0,icev,8.0,6469840.937410706,2017.0,high,23.075684501351,inf,10.1929804069834,0.0,0.0,0.0,17491.8979203788,current,,,,,,,,,,,,,,,,
default,0,phev,8.0,35386.01751383183,2017.0,high,39.5625212043007,95.6894217556573,5.94527327480917,2.45805644641273,32.5089058524173,0.0,17491.8979203788,current,,,,,,,,,,,,,,,,
default,0,bev,9.0,32269.020791544463,2016.0,high,inf,113.241129328297,0.0,2.0770721856553,84.1923076923077,0.0,17167.2746772514,current,,,,,,,,,,,,,,,,
default,0,hev,9.0,129085.38463300937,2016.0,high,41.2633086913369,inf,5.70022151542543,0.0,0.0,0.0,17167.2746772514,current,,,,,,,,,,,,,,,,
